Tarih,Sembol,Fiyat,Gunluk %,Hacim 1g,Rejim G,Rejim H,Rejim A,Cakisma,ATR %
2026-07-24,AGHOL,34.34,-0.4637681159420191,1738988,0.36,1.12,0.86,0,3.262267039955664
2026-07-24,ENERY,9.41,-1.2591815320041893,15868414,0.3,0.6,1.53,0,4.443704124090913
2026-07-24,PGSUS,161.9,0.9351620947630924,6966738,0.74,0.82,0.94,0,2.4199970458690507
2026-07-24,BRSAN,567.5,1.7937219730941705,1060095,0.79,0.81,0.75,0,3.8949204676107887
2026-07-24,IEYHO,164.2,2.305295950155756,4083495,0.34,1.31,1.0,1,2.6050712113803183
2026-07-24,MPARK,409.75,-0.0609756097560975,469539,0.71,0.97,1.04,0,3.319095899129794
2026-07-24,UFUK,1640.0,-0.966183574879227,2033,0.1,0.44,1.07,0,4.812219335867821
2026-07-24,PASEU,111.1,-2.5438596491228123,1656359,0.17,0.84,0.71,0,6.579828294409987
2026-07-24,PEKGY,14.95,0.0,21265341,0.19,0.65,0.71,0,2.315723485448201
2026-07-24,DMLKT,6.02,0.0,4317100,0.85,0.88,0.72,0,0.7002885247364202
2026-07-24,RGYAS,202.0,-1.9417475728155336,486820,0.42,0.85,0.69,0,2.4970889444621385
2026-07-24,BIGEN,128.7,9.999999999999991,1001622,0.07,2.44,0.43,1,7.5456048275652625
2026-07-24,ARCLK,98.85,-0.1515151515151572,719070,0.63,0.66,0.85,0,2.209597709773063
2026-07-24,LYDHO,183.8,-0.3794037940379342,454776,1.1,1.08,0.77,0,3.185815139369605
2026-07-24,EUPWR,98.0,-0.3558718861209907,10948016,0.6,0.63,1.09,0,5.978423917940324
2026-07-24,RYGYO,32.06,0.8810572687224705,632636,0.53,0.91,0.54,0,3.542082364077935
2026-07-24,AYGAZ,273.75,-4.533565823888405,1078681,0.76,1.41,1.06,1,3.651986690782892
2026-07-24,TABGD,231.9,-0.472103004291843,217487,0.17,0.94,1.52,0,4.013453332898033
2026-07-24,AKFIS,92.55,-0.5373455131649651,989772,0.36,0.59,0.67,0,5.201078248214194
2026-07-24,PETKM,22.4,-0.7092198581560291,37434321,0.42,1.09,0.84,0,3.732117326303397
2026-07-24,KRDMA,42.72,-3.740423614240657,4835826,0.31,1.42,0.9,1,4.574399841542575
2026-07-24,BSOKE,34.72,-0.686498855835246,1815380,0.44,1.25,0.66,0,4.763708452130677
2026-07-24,CVKMD,39.06,-1.063829787234029,8234571,0.61,0.94,0.63,0,4.628813920455688
2026-07-24,ANSGR,26.84,-1.105379513633017,827701,0.21,0.99,0.74,0,2.605096361061168
2026-07-24,TRHOL,1748.0,-3.104212860310421,68871,0.18,1.25,1.28,2,5.527421920401482
2026-07-24,ISMEN,35.9,-0.333148250971695,2289627,0.44,0.88,0.72,0,2.270851531308121
2026-07-24,ARMGD,201.5,-0.2475247524752475,663037,0.52,0.86,1.05,0,4.824331817568277
2026-07-24,GLRMK,163.6,0.368098159509199,1636881,0.49,0.95,0.47,0,3.475932482350151
2026-07-24,TKFEN,148.0,1.4393420150788172,2604848,0.6,0.92,0.67,0,4.601771640675906
2026-07-24,TRMET,135.1,0.8961911874533148,9557834,1.46,1.12,1.08,1,4.727937147086367
2026-07-24,YGGYO,217.8,0.4149377593361021,59692,0.64,0.54,0.51,0,3.557140900505925
2026-07-24,SARAE,123.8,9.946714031971585,6966005,,,,0,
2026-07-24,ECILC,71.9,-0.964187327823676,1565641,0.51,0.79,0.71,0,3.377919755309557
2026-07-24,BRYAT,1808.0,0.1107419712070874,23943,0.65,0.83,0.58,0,2.9661137797291577
2026-07-24,CIMSA,49.6,-1.0967098703888278,4075536,0.49,1.2,1.04,1,2.8679438145818565
2026-07-24,AKSA,11.93,-0.6661115736885934,20669562,1.06,0.76,0.93,0,3.696818294107143
2026-07-24,AKCNS,237.2,0.0843881856540036,203730,0.68,0.39,0.97,0,3.3353056201770688
2026-07-24,ANHYT,103.8,-0.192307692307695,371374,0.48,1.0,0.8,0,2.4215481339117457
2026-07-24,ALARK,106.1,-0.9337068160597572,1299074,0.35,0.69,0.92,0,3.5905504336593244
2026-07-24,MOGAN,17.52,-1.6835016835016876,8375802,0.26,1.08,0.93,0,6.459212600238952
2026-07-24,ALKLC,401.5,0.1246882793017456,349080,0.32,0.73,0.85,0,3.3842329320548954
2026-07-24,AGESA,238.0,0.2105263157894736,75321,0.43,0.9,0.8,0,2.7902652886731105
2026-07-24,CWENE,38.4,-2.636916835699795,10351823,0.17,1.34,1.14,0,5.043692919369672
2026-07-24,GENIL,9.22,-0.8602150537634415,12901426,0.32,0.81,0.83,0,4.78900805752045
2026-07-24,TBORG,128.3,-0.3108003108002931,55311,0.31,1.1,0.78,0,2.4917044522915983
2026-07-24,TTRAK,408.5,-0.9096422073984234,66917,0.48,1.02,0.77,0,2.287839626117976
2026-07-24,RYSAS,20.2,-0.3944773175542497,695896,0.23,0.93,0.33,0,4.886679742086967
2026-07-24,OTKAR,331.5,-0.4504504504504504,413358,0.79,0.42,1.34,0,3.256938956774195
2026-07-24,EFOR,18.17,1.621923937360194,27611443,0.33,0.84,0.73,0,5.918862295399056
2026-07-24,GESAN,81.75,-1.0290556900726324,5679907,0.51,0.98,0.81,0,5.675153585535071
2026-07-24,DOHOL,21.28,-0.5607476635513899,6655226,0.72,0.82,0.96,0,3.4709482337545823
2026-07-24,DOAS,185.9,0.0,337338,0.41,0.76,0.68,0,2.2732891567520555
2026-07-24,CLEBI,1494.0,0.2684563758389262,13084,0.61,0.68,0.58,0,2.57725483728593
2026-07-24,YEOTK,98.95,-1.835317460317455,8547090,0.93,1.18,0.6,1,6.416515172709558
2026-07-24,ECZYT,335.75,-0.9587020648967552,131104,0.19,1.34,0.9,0,5.242406533640274
2026-07-24,ULKER,92.5,-1.9607843137254843,3798140,0.74,0.9,0.9,0,2.3703043457659825
2026-07-24,GLYHO,17.07,-2.790432801822315,1992031,0.83,0.51,0.72,0,2.991002033896624
2026-07-24,CEMZY,14.39,-2.1088435374149577,6384385,0.35,0.75,0.88,0,5.802519899517754
2026-07-24,VERUS,479.25,0.2615062761506276,24426,0.11,1.13,1.28,0,6.956435955508851
2026-07-24,ANELE,124.2,-0.2409638554216844,2527932,0.37,1.81,0.87,1,7.489800830300669
2026-07-24,NUHCM,218.1,-0.4109589041095916,23728,0.64,0.59,0.33,0,2.404078022015322
2026-07-24,SKBNK,11.76,-9.954058192955594,2761879,0.07,0.86,1.0,0,9.73368098988431
2026-07-24,SOKM,53.15,-3.1876138433515484,2824964,0.36,1.21,0.8,1,3.6005923053936733
2026-07-24,GRSEL,349.0,9.748427672955977,1313580,2.67,1.01,0.91,1,3.2327371555682305
2026-07-24,BASGZ,46.6,0.6914433880726022,125532,0.54,0.57,0.86,0,2.7798243204479496
2026-07-24,AKFYE,27.16,0.3695491500369602,7076486,0.48,1.16,1.17,2,5.231142704543893
2026-07-24,TSKB,11.32,0.3546099290780223,6225509,0.44,0.91,0.73,0,2.5191995692743325
