Tarih,Sembol,Açıklama,Fiyat,"Fiyat değişimi %, 1 gün",Piyasa değeri,Halka açıklık %,"Hacim, 1 gün","Ortalama hacim, 10 gün","Ortalama hacim, 30 gün","Ortalama hacim, 60 gün","Bağıl hacim, 1 gün","Performans %, 1 hafta","Performans %, 1 ay","Performans %, 3 ay","Performans %, 6 ay","Performans %, Güncel yıl",RSI,MFI,ADX,MACD Level,MACD Signal,SMA20,SMA50,SMA200,"Yüksek, 1 ay","Yüksek, 3 ay","Yüksek, 6 ay","Yüksek, 52 hafta","Yüksek, Tüm Zamanlar","Düşük, 1 ay","Düşük, 3 ay",ATR %,"Volatilite, 1 hafta","Volatilite, 1 ay",BB Upper,BB Lower,Sektör,F/K,PD/DD,XU100
2026-07-22,ASELS,Aselsan Elektronik Sanayi ve Ticaret A.S. Class B,361.75,0.4861111111111111,1641600000000.0,25.8048,3196200,37645860.100000575,34756014.00000014,28984579.516666513,0.07285187620317644,2.5513819985825656,-10.180012414649287,-9.335839598997493,19.48802642444261,55.92672413793103,46.394527555112774,54.48880829517242,17.25982946482324,-7.449021966728935,-6.697867357323109,366.61249999999984,383.2899999999999,303.33450000000005,411.25,450.0,450.0,450.0,450.0,342.5,342.5,4.42522512333802,3.5541570561087905,4.665335982950379,397.9487709172674,335.2762290827323,Electronic technology,50.60572995355604,5.868848315376902,True
2026-07-22,QNBTR,QNB Bank AS,205.0,-0.2918287937743163,1130800033569.0,0.1226000000000071,2906,12435.500000000015,17291.40000000001,20003.033333333333,0.19671021458065371,-0.966183574879227,-6.392694063926941,-23.507462686567163,-27.307318802331135,-25.040731860755702,41.43841174947072,42.51631985471915,24.797230541585385,-3.698956962934915,-2.9752548529769998,213.00000000000014,218.45399999999987,270.8104385262502,235.0,259.25,348.25,627.36373,627.36373,200.0,200.0,2.5358150975524847,0.8826430991339869,2.0952601756858487,230.3410495645399,195.65895043546038,Finance,21.52773402222082,6.080624934002974,False
2026-07-22,HEDEF,Hedef Holding AS,228.5,0.0,685500000000.0,23.055500000000002,155891,2498889.6,2233009.533333335,2719538.6775505347,0.058569543964879095,18.39378238341969,75.90454195535027,169.86716797853174,511.5424693496119,774.7187061592708,94.12242628114429,69.10977404039204,50.87220858812699,24.891934832126168,20.767208999071062,176.385,134.77168872399997,74.3467059334,235.0,235.0,235.0,235.0,235.0,128.5,83.8915038,4.494094792091719,8.239957998929043,6.39538706580927,230.81070256781265,121.95929743218731,Finance,407.09068234455725,112.5083704258085,False
2026-07-22,DSTKF,Destek Finans Faktoring A.S.,1938.0,-5.185909980430528,681333354126.0,25.0,28457,709452.5,654037.7,801489.05,0.03213769846782108,-37.734939759036145,-39.4375,-20.01650846058605,185.20971302428256,246.69051878354205,24.701706402162515,41.73637760423727,45.12985072752923,-173.188974083424,70.15052314191203,3292.274999999999,2780.5999999999995,1539.4525,3960.0,3960.0,3960.0,3960.0,3960.0,1938.0,1704.0,10.843589312902457,6.842870712548005,5.189015841368269,4524.3613393042,2060.1886606957987,Finance,147.4706276252511,48.542716588684385,True
2026-07-22,TUPRS,Tupras Turkiye Petrol Rafinerileri A.S.,310.75,0.40387722132471726,596343255005.0,46.7747,1371927,25371343.899999995,23209961.466666598,23431443.383333344,0.0455326815251866,14.907407407407407,37.21804511278196,22.266009852216747,36.1342694164107,68.15718157181571,85.16850205134017,100.0,47.413747180135054,17.999336455169384,11.151214542002762,258.06000000000006,247.40699999999998,225.5814999999999,312.0,312.0,312.0,312.0,312.0,215.1,215.1,2.7766672367106384,4.21796097181099,3.2341370310895234,318.29926128364895,197.82073871635117,Energy minerals,18.448267673529482,1.692963764746082,True
2026-07-22,ENKAI,Enka Insaat ve Sanayi A.S.,91.2,0.0,534604050860.99994,14.115,423708,8827971.999999892,11487650.133333286,10883834.483333346,0.043149381397014804,1.4460511679644017,-3.492063492063489,-13.636363636363628,10.545454545454549,15.66265060240965,47.691321764258724,48.92966014318455,22.245034520422532,-1.0546635138662737,-1.3905855706896357,90.80000000000001,95.00299999999997,88.87100000000002,95.35,114.3,114.3,114.3,114.3,88.0,88.0,2.5890893298233424,2.2834012938723176,2.4662509144901885,93.41247009552069,88.18752990447933,Industrial services,14.97832085139929,1.3880332056505127,True
2026-07-22,GARAN,Turkiye Garanti Bankasi Anonim Sirketi,124.2,0.0,521639987183.0,14.026299999999999,1579306,24922795.299999665,28264962.53333315,29323211.43333323,0.0575413898840573,-1.2718600953895027,-14.048442906574392,-13.207547169811315,-16.75603217158176,-13.929313929313935,33.073877739373586,30.861872169330525,20.693068845656796,-2.7972135746679783,-1.6618748899754658,132.18499999999995,132.28199999999998,138.13949999999994,144.1,145.1,169.7,169.7,169.7,124.0,116.9,2.755128194008742,2.2533859433903993,2.4593006586304984,142.90661834799465,121.46338165200522,Finance,4.425346331452027,1.1570267951382518,True
2026-07-22,KCHOL,Koc Holding A.S.,203.7,1.0918114143920539,510983458302.0,26.88,1793770,18677321.199999996,19701490.233333375,18822590.08333334,0.08618748092304927,6.649214659685858,3.6641221374045743,-1.5466408893185195,3.875573686894439,20.31896042528055,62.611798888138175,62.821987669530486,22.868523443588273,1.579772251801188,0.005894367049067539,193.71499999999986,194.5179999999999,188.29900000000038,203.7,215.1,229.1,229.1,270.75,182.1,178.0,2.4110355898212985,2.6777515468150126,2.4332190737801094,203.6924295287015,183.73757047129823,Energy minerals,21.923263197546145,0.7226449614440354,True
2026-07-22,BIMAS,BIM Birlesik Magazalar A.S.,392.5,-0.1272264631043257,466011551514.0,72.5367,863799,10550677.4,10689313.733333332,9932046.933333334,0.07366356816827924,4.876419505678022,1.6181229773462784,3.5620052770448547,24.80127186009539,46.31873252562908,57.029489104978836,63.614799439123054,20.163398500168373,4.071747930063907,1.0596707900116482,376.2125000000004,382.11,329.3087500000003,408.25,425.0,425.0,425.0,425.0,353.25,353.25,3.0593347095142294,4.201334161837924,2.9716848925893147,400.1526728272424,352.27232717275837,Retail trade,21.336392002522313,2.4628359621989504,True
2026-07-22,THYAO,Turk Hava Yollari A.O.,317.0,-0.15748031496062992,438150000000.0,50.8779,3801643,47379894.69999981,50222211.89999985,45907832.449999966,0.07164223780237776,-4.012112036336109,-3.5007610350076104,-3.793626707132018,5.490848585690515,16.974169741697416,43.286864418536815,50.078563144506404,19.460145447737307,1.6525853112597133,4.822948967718632,331.3125000000002,315.4849999999999,300.5425,355.5,355.5,355.5,355.5,355.5,314.5,271.5,2.7959044566947635,2.785147924220666,2.4257859905856978,347.46093258646596,315.1640674135345,Transportation,3.3521774348757583,0.4501691251320916,True
2026-07-22,KTLEV,KATILIMEVIM TASARRUF FINANSMAN A.S.,177.5,1.4285714285714286,362250000000.0,27.838800000000003,2049152,21389882.000000007,25063715.300000004,31070055.88333339,0.08491950106728237,-8.988764044943832,-2.516411378555811,76.43564356435643,384.23913043478257,730.3821062441751,50.785778630929364,49.33844960067964,28.481702505443373,6.514838235582289,9.702094573967532,183.30999999999992,160.08999999999997,69.45855,199.8,199.8,199.8,199.8,199.8,160.5,98.5,5.471559471094828,6.364530011412538,5.533277821781158,200.68353159262938,165.93646840737046,Finance,33.7921449920993,24.90396190465501,True
